motif_id,Odds_Ratio,P_Value,Foreground_Count,Background_Count,Adj_P_Value,motif_alt_id
MA1324.1,0.9370243239562547,0.4621078756349031,268,267,0.9053561594897231,GATA20
MA1325.2,1.0286756132813855,0.7781922624851103,238,216,0.9919760894556418,GATA14
MA1326.2,1.054889595894987,0.4067785060469218,522,462,0.8888863650654958,ZHD5
MA1328.1,1.044958391157118,0.18154572636548913,2002,1789,0.701521379667639,ZHD9
MA1329.3,1.0179296019158033,0.646723054396158,1437,1318,0.9548974835667107,ZHD1
MA1330.2,1.0514520380843633,0.17019784375696762,1635,1452,0.6965322160689773,ZHD6
MA1331.2,1.054441481738935,0.47990594378781604,384,340,0.9053561594897231,BEH4
MA1332.2,1.0802880608636118,0.3757417676769642,302,261,0.8727123486522969,BEH2
MA1333.2,1.0815466911420129,0.2461825232665249,490,423,0.7824298733554134,BEH3
MA1334.2,0.9568742188091194,0.5821302441237839,328,320,0.9367004837264522,BZIP11
MA1335.1,0.9884775172284641,0.9073035495395002,342,323,1.0,TGA4
MA1336.2,1.0981879519035873,0.27494092311245455,307,261,0.8119327170544471,TGA3
MA1337.2,0.9071577491628556,0.23117808933978706,310,319,0.768422944847743,BZIP44
MA1338.3,0.9945918460051416,0.9300087285687118,603,566,1.0,DPBF3
MA1339.1,0.8829374614229718,0.13397313273385258,297,314,0.6605879909003189,BZIP43
MA1340.2,1.0182487892128604,0.8078611312371934,433,397,0.9979676925639887,BZIP3
MA1341.2,0.9570956203284592,0.5804738418716966,325,317,0.9367004837264522,BZIP53
MA1343.2,0.8186167475699427,0.12425744918586927,114,130,0.6381075621960945,BZIP52
MA1344.2,1.0288375534586927,0.6654698472049885,551,500,0.9548974835667107,BZIP28
MA1345.2,0.9277659160641359,0.34547939151450274,323,325,0.857663300107687,BZIP48
MA1346.2,1.0369740188461032,0.656018096280272,321,289,0.9548974835667107,TGA10
MA1348.1,1.0489537222119816,0.5793295536630163,291,259,0.9367004837264522,TGA9
MA1349.2,1.014857971680111,0.8231823904765103,512,471,0.9979676925639887,BZIP16
MA1350.1,0.8438531585324868,0.035854537901853105,292,323,0.3359614051553014,BZIP42
MA1351.3,0.9521453779763431,0.5228765143768694,358,351,0.9238814193852523,GBF3
MA1352.1,1.0416153441714096,0.3008186885981321,1390,1246,0.8393955246225534,TRP1
MA1353.2,0.9880258815821132,0.819036122909639,798,754,0.9979676925639887,AT1G72740
MA1354.1,1.0006355505535451,1.0,1134,1058,1.0,AT4G12670
MA1355.2,0.9539477439447077,0.43431653102855067,560,548,0.9053561594897231,TRB2
MA1356.1,1.0061322669267945,0.8813661684740784,1498,1390,1.0,TRP2
MA1357.2,1.1020798441776802,0.1732279084621118,445,377,0.6968486317680407,bHLH80
MA1358.2,1.0390592106852146,0.6340907499395096,335,301,0.9548974835667107,bHLH130
MA1361.2,1.0677903458815883,0.39445261803307896,390,341,0.886579217674349,bHLH18
MA1362.2,0.9932190660986302,0.9372527156516691,333,313,1.0,bHLH77
